SKU,Weight_g,Weight_lb,Description,Tier,Size,Tags,Measurements,Pic_Paths,Price_CAD,Cost_CAD,Date_Added,Sold
13,544.0,1.2,shirt,1,XS,"tier1,shirt,mens",,,8.99,2.15,2025-09-30 14:45:29,False
3,500.0,1.1,harley t shirt,1,XS,"tier1,harley,shirt,mens",,,8.27,1.97,2025-09-30 18:55:40,False
6,1300.0,2.87,carhartt coat,1,XS,"tier1,carhartt,coat,mens",,,21.5,5.13,2025-09-30 18:55:55,False
s1r1b1,590.0,1.3,puma hoodie black,3,xl,"tier3,hoodie,mens,puma",,,5.2,2.33,2025-10-01 04:19:30,False
s1r1b1,534.0,1.18,calvin klein jeans,3,38,"tier3,jeans,mens",,,4.71,2.11,2025-10-01 04:25:07,False
s1r1b1,696.0,1.53,hydrogen jeans mens ,3,38x34,"tier3,jeans,mens",38x34,,6.14,2.75,2025-10-01 04:27:15,False
s1r1b1,822.0,1.81,urban star mens jeans,3,38,"tier3,jeans,mens",38x31,,7.25,3.24,2025-10-01 04:28:57,False
s1r1b1,732.0,1.61,urban heritage mens jeans,3,38x32,"tier3,jeans,mens",38x32,,6.46,2.89,2025-10-01 04:30:53,False
s1r1b1,758.0,1.67,Mens Tommy Hilfiger Jeans ,3,38x34,"tier3,mens,jeans",38x34,,6.68,2.99,2025-10-01 04:33:35,False
s1r1b1,554.0,1.22,carhartt beige mens pants,3,32x30,"tier3,mens,pants,carhartt",32x30,,4.89,2.19,2025-10-01 04:36:44,False
1222,454.0,1.0,sweater,2,M,"tier2,sweater,mens",,,5.5,1.79,2025-10-01 16:05:52,False
